"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 11:01:39 GMT 2023","Thu Feb 09 11:01:44 GMT 2023","4802","","Verify search functionality","","Verify 'DESC' sorting by 'PRICE' criteria","","Verify 'DESC' sorting by 'PRICE' criteria",""
"passed","Thu Feb 09 11:00:34 GMT 2023","Thu Feb 09 11:00:36 GMT 2023","2466","","Verify search functionality","","Verify items on the page with pagination","","Verify items on the page with pagination",""
"passed","Thu Feb 09 10:59:53 GMT 2023","Thu Feb 09 10:59:55 GMT 2023","1666","","Verify the structure of the header","","Verify header panel structure","","Verify header panel structure",""
"passed","Thu Feb 09 10:59:39 GMT 2023","Thu Feb 09 10:59:53 GMT 2023","14718","","Verify the structure of the header","","Verify header panel welcome message","","Verify header panel welcome message",""
"broken","Thu Feb 09 11:01:50 GMT 2023","Thu Feb 09 11:02:22 GMT 2023","31506","","Verify search functionality","","Verify navigation to the next page","","Verify navigation to the next page",""
"passed","Thu Feb 09 11:00:31 GMT 2023","Thu Feb 09 11:00:34 GMT 2023","2222","","Verify search functionality","","Verify items on the page","","Verify items on the page",""
"passed","Thu Feb 09 10:59:55 GMT 2023","Thu Feb 09 11:00:00 GMT 2023","4709","","Verify search functionality","","Verify search for an item LIST view","","Verify search for an item LIST view",""
"broken","Thu Feb 09 11:00:36 GMT 2023","Thu Feb 09 11:01:07 GMT 2023","31345","","Verify search functionality","","Verify 'DESC' sorting by 'PRODUCT_NAME' criteria","","Verify 'DESC' sorting by 'PRODUCT_NAME' criteria",""
"broken","Thu Feb 09 11:01:07 GMT 2023","Thu Feb 09 11:01:39 GMT 2023","31428","","Verify search functionality","","Verify 'ASC' sorting by 'PRICE' criteria","","Verify 'ASC' sorting by 'PRICE' criteria",""
"broken","Thu Feb 09 11:00:00 GMT 2023","Thu Feb 09 11:00:31 GMT 2023","31452","","Verify search functionality","","Verify search for an item GRID view","","Verify search for an item GRID view",""
"passed","Thu Feb 09 11:01:44 GMT 2023","Thu Feb 09 11:01:50 GMT 2023","6723","","Verify search functionality","","Verify 'ASC' sorting by 'PRODUCT_NAME' criteria","","Verify 'ASC' sorting by 'PRODUCT_NAME' criteria",""
